REEF,data,variableName,Month,Year
Barnards,0.7454427,Nap_MIM_median,12,2004
Barnards,0.03721788,CDOM_MIM_median,12,2004
Barnards,0.44021267,Chl_MIM_median,12,2004
Barnards,0.09874132,Kd_490_MIM_median,12,2004
Barnards,0.64919704,Nap_MIM_median,1,2005
Barnards,0.034505207,CDOM_MIM_median,1,2005
Barnards,0.625217,Chl_MIM_median,1,2005
Barnards,0.09266493,Kd_490_MIM_median,1,2005
Barnards,0.64919704,Nap_MIM_median,1,2005
Barnards,0.034505207,CDOM_MIM_median,1,2005
Barnards,0.625217,Chl_MIM_median,1,2005
Barnards,0.09266493,Kd_490_MIM_median,1,2005
Barnards,0.64919704,Nap_MIM_median,1,2005
Barnards,0.034505207,CDOM_MIM_median,1,2005
Barnards,0.625217,Chl_MIM_median,1,2005
Barnards,0.09266493,Kd_490_MIM_median,1,2005
Barnards,0.43294272,Nap_MIM_median,2,2005
Barnards,0.04937066,CDOM_MIM_median,2,2005
Barnards,0.4487847,Chl_MIM_median,2,2005
Barnards,0.09016927,Kd_490_MIM_median,2,2005
Barnards,0.43294272,Nap_MIM_median,2,2005
Barnards,0.04937066,CDOM_MIM_median,2,2005
Barnards,0.4487847,Chl_MIM_median,2,2005
Barnards,0.09016927,Kd_490_MIM_median,2,2005
Barnards,0.43294272,Nap_MIM_median,2,2005
Barnards,0.04937066,CDOM_MIM_median,2,2005
Barnards,0.4487847,Chl_MIM_median,2,2005
Barnards,0.09016927,Kd_490_MIM_median,2,2005
Barnards,0.5197483,Nap_MIM_median,3,2005
Barnards,0.04926215,CDOM_MIM_median,3,2005
Barnards,0.5321181,Chl_MIM_median,3,2005
Barnards,0.092447914,Kd_490_MIM_median,3,2005
Barnards,0.5197483,Nap_MIM_median,3,2005
Barnards,0.04926215,CDOM_MIM_median,3,2005
Barnards,0.5321181,Chl_MIM_median,3,2005
Barnards,0.092447914,Kd_490_MIM_median,3,2005
Barnards,0.5197483,Nap_MIM_median,3,2005
Barnards,0.04926215,CDOM_MIM_median,3,2005
Barnards,0.5321181,Chl_MIM_median,3,2005
Barnards,0.092447914,Kd_490_MIM_median,3,2005
Barnards,1.0812716,Nap_MIM_median,4,2005
Barnards,0.09288195,CDOM_MIM_median,4,2005
Barnards,0.8030599,Chl_MIM_median,4,2005
Barnards,0.14181858,Kd_490_MIM_median,4,2005
Barnards,1.0812716,Nap_MIM_median,4,2005
Barnards,0.09288195,CDOM_MIM_median,4,2005
Barnards,0.8030599,Chl_MIM_median,4,2005
Barnards,0.14181858,Kd_490_MIM_median,4,2005
Barnards,1.0812716,Nap_MIM_median,4,2005
Barnards,0.09288195,CDOM_MIM_median,4,2005
Barnards,0.8030599,Chl_MIM_median,4,2005
Barnards,0.14181858,Kd_490_MIM_median,4,2005
Barnards,0.7063802,Nap_MIM_median,5,2005
Barnards,0.048611112,CDOM_MIM_median,5,2005
