"","REEF","VISIT_NO","DEPTH","Acroporidae","Dendrophylliidae","propAC"
"274","Havannah",12,5,6,13.5,0.307692307692308
"275","Havannah",13,2,10.5,0.5,0.954545454545455
"276","Havannah",13,5,5.5,13.5,0.289473684210526
"277","Havannah",14,2,12,0.5,0.96
"278","Havannah",14,5,7.5,11,0.405405405405405
"279","High East",1,2,14,0,1
"280","High East",1,5,17.5,11,0.614035087719298
"281","High East",2,2,7.5,1,0.882352941176471
"282","High East",2,5,8,12,0.4
"283","High East",3,2,11.5,1,0.92
"284","High East",3,5,13,12.5,0.509803921568627
"285","High East",5,2,15,0,1
"286","High East",5,5,18.5,1,0.948717948717949
"287","High East",7,2,7.5,1,0.882352941176471
"288","High East",7,5,10.5,2.5,0.807692307692308
"289","High East",9,2,144.5,1,0.993127147766323
"290","High East",9,5,83.5,2,0.976608187134503
"291","High East",11,2,36.5,0.5,0.986486486486487
"292","High East",11,5,43.5,10,0.813084112149533
"293","High East",12,2,11,0.5,0.956521739130435
"294","High East",12,5,20,5.5,0.784313725490196
"295","High East",13,2,12.5,0,1
"296","High East",13,5,11,1.5,0.88
"297","High East",14,2,16.5,1.5,0.916666666666667
"298","High East",14,5,17.5,4,0.813953488372093
"299","High West",1,2,4.5,0,1
"300","High West",1,5,6,1,0.857142857142857
"301","High West",2,2,7.5,0.5,0.9375
"302","High West",2,5,5,1,0.833333333333333
"303","High West",3,2,22,2.5,0.897959183673469
"304","High West",3,5,15.5,7,0.688888888888889
"305","High West",4,2,9.5,0,1
"306","High West",4,5,5,2,0.714285714285714
"307","High West",5,2,15.5,2,0.885714285714286
"308","High West",5,5,7,6,0.538461538461538
"309","High West",6,2,7.5,2.5,0.75
"310","High West",6,5,6,4.5,0.571428571428571
"311","High West",7,2,7.5,2,0.789473684210526
"312","High West",7,5,8.5,4,0.68
"313","High West",8,2,23.5,1.5,0.94
"314","High West",8,5,11.5,4,0.741935483870968
"315","High West",9,2,25,3,0.892857142857143
"316","High West",9,5,8,4,0.666666666666667
"317","High West",10,2,18.5,5,0.787234042553192
"318","High West",10,5,8.5,4,0.68
"319","High West",12,2,14,4.5,0.756756756756757
"320","High West",12,5,7.5,4,0.652173913043478
"321","High West",13,2,10.5,1.5,0.875
"322","High West",13,5,8.5,2.5,0.772727272727273
"323","High West",14,2,11.5,0.5,0.958333333333333
"324","High West",14,5,8.5,4.5,0.653846153846154
"325","Hook",1,2,6,1,0.857142857142857
"326","Hook",1,5,5,0.5,0.909090909090909
"327","Hook",2,2,4.5,0.5,0.9
"328","Hook",2,5,6,0,1
"329","Hook",4,2,5,0,1
"330","Hook",4,5,4,1.5,0.727272727272727
"331","Hook",6,2,11,1.5,0.88
"332","Hook",6,5,5,0.5,0.909090909090909
"333","Hook",8,2,11,2.5,0.814814814814815
"334","Hook",8,5,8,1.5,0.842105263157895
"335","Hook",10,2,14,3,0.823529411764706
"336","Hook",10,5,14,0,1
"337","Hook",12,2,22.5,1,0.957446808510638
"338","Hook",12,5,13.5,1,0.931034482758621
"339","Hook",14,2,2.5,1.5,0.625
"340","Hook",14,5,3,1,0.75
"341","Keppels South",1,2,23,0,1
"342","Keppels South",1,5,12.5,2,0.862068965517241
"343","Keppels South",2,2,17,1,0.944444444444444
"344","Keppels South",2,5,13,3,0.8125
"345","Keppels South",3,2,34.5,0,1
"346","Keppels South",3,5,11,2.5,0.814814814814815
"347","Keppels South",4,2,10.5,0,1
"348","Keppels South",4,5,8,3.5,0.695652173913043
"349","Keppels South",5,2,9.5,0.5,0.95
"350","Keppels South",5,5,5,3,0.625
"351","Keppels South",6,2,5,1.5,0.769230769230769
"352","Keppels South",6,5,4,1.5,0.727272727272727
"353","Keppels South",7,2,4.5,2,0.692307692307692
"354","Keppels South",7,5,2.5,5,0.333333333333333
"355","Keppels South",8,2,9.5,0.5,0.95
"356","Keppels South",8,5,7,4.5,0.608695652173913
"357","Keppels South",9,2,17,1,0.944444444444444
"358","Keppels South",9,5,9,1,0.9
"359","Keppels South",10,2,15.5,0.5,0.96875
"360","Keppels South",10,5,3.5,1,0.777777777777778
"361","Keppels South",11,2,16.5,0.5,0.970588235294118
"362","Keppels South",11,5,8,1.5,0.842105263157895
"363","Keppels South",12,2,38,1.5,0.962025316455696
"364","Keppels South",12,5,15,3,0.833333333333333
"365","Keppels South",13,2,41.5,4.5,0.902173913043478
"366","Keppels South",13,5,17,3,0.85
"367","Keppels South",14,2,130,5,0.962962962962963
"368","Keppels South",14,5,10.5,8,0.567567567567568
"369","King",1,2,1.5,3,0.333333333333333
"370","King",1,5,6.5,52.5,0.110169491525424
"371","King",2,2,0.5,9,0.0526315789473684
"372","King",2,5,4.5,28.5,0.136363636363636
"373","King",4,2,3.5,2,0.636363636363636
"374","King",4,5,4,22.5,0.150943396226415
"375","King",6,2,2,1.5,0.571428571428571
"376","King",6,5,5.5,103.5,0.0504587155963303
"377","King",8,2,3,2,0.6
"378","King",8,5,8.5,57,0.129770992366412
"379","King",10,2,4,8.5,0.32
"380","King",10,5,3.5,155.5,0.0220125786163522
"381","Lady Elliot",1,2,7,0,1
"382","Lady Elliot",1,5,1.5,19,0.0731707317073171
"383","Lady Elliot",2,2,25,0.5,0.980392156862745
"384","Lady Elliot",2,5,2.5,15,0.142857142857143
"385","Lady Elliot",4,2,37.5,1.5,0.961538461538462
"386","Lady Elliot",4,5,4,10,0.285714285714286
"387","Lady Elliot",6,2,85,85.5,0.498533724340176
"388","Lady Elliot",6,5,8,18,0.307692307692308
"389","Lady Elliot",8,2,62,321.5,0.161668839634941
"390","Lady Elliot",8,5,2,147,0.0134228187919463
"391","Lady Elliot",10,2,86,420,0.1699604743083
"392","Lady Elliot",10,5,2,818.5,0.0024375380865326
"393","Lady Elliot",12,2,42.5,148,0.223097112860892
"394","Lady Elliot",12,5,3,720.5,0.00414651002073255
"395","Lady Elliot",14,2,24,17.5,0.578313253012048
"396","Lady Elliot",14,5,4.5,167.5,0.0261627906976744
"397","Magnetic",1,2,7.5,2.5,0.75
"398","Magnetic",1,5,1.5,13.5,0.1
"399","Magnetic",2,2,8,1,0.888888888888889
"400","Magnetic",2,5,10.5,22,0.323076923076923
"401","Magnetic",3,2,15.5,5.5,0.738095238095238
"402","Magnetic",3,5,17.5,22.5,0.4375
"403","Magnetic",4,2,16,11.5,0.581818181818182
"404","Magnetic",4,5,13.5,9,0.6
"405","Magnetic",5,2,13,3.5,0.787878787878788
"406","Magnetic",5,5,10.5,13.5,0.4375
"407","Magnetic",6,2,25.5,17.5,0.593023255813954
"408","Magnetic",6,5,18.5,15,0.552238805970149
"409","Magnetic",7,2,22,2.5,0.897959183673469
"410","Magnetic",7,5,10.5,12,0.466666666666667
